Name,Class,Lv,HP,Str,Mag,Skl,Spd,Lck,Def,Bld,Mov,Lead,MS,PC
Leaf,Lord,1,22,4,0,2,5,6,3,5,6,0,1,2
Fin,Lance Knight,7,28,8,1,8,11,5,7,9,8,1,0,1
Evayle,Swordmaster,12,28,9,4,18,20,10,7,8,8,1,2,1
Halvan,Axe Fighter,2,28,7,0,7,7,2,5,12,6,0,0,4
Othin,Axe Fighter,1,27,6,0,7,9,3,4,11,6,0,0,3
Dagda,Warrior,6,43,14,1,11,9,2,10,15,7,0,1,1
Tania,Bow Fighter,1,20,3,1,6,10,6,2,4,6,0,0,2
Marty,Mountain Thief,1,32,9,0,0,0,6,6,15,6,0,0,1
Ronan,Bow Fighter,1,20,4,0,3,7,3,2,7,7,0,3,1
Rifis,Thief,4,20,3,0,4,10,1,2,6,7,0,2,0
Safy,Priest,3,14,0,6,6,7,9,0,3,5,0,0,1
Brighton,Axe Knight,5,28,6,0,6,6,2,6,11,8,0,0,1
Machua,Swordfighter,2,24,4,1,10,11,6,4,6,6,0,0,3
Lara,Thief,2,14,0,0,1,10,6,0,3,7,0,1,1
Felgus,Free Knight,3,26,6,0,7,7,6,5,8,8,0,1,5
Karin,Pegasus Rider,1,18,4,7,4,14,12,4,4,8,0,0,1
Dalsin,Axe Armour,5,29,9,0,3,2,0,11,15,5,0,0,1
Asvel,Mage,1,22,0,4,3,7,5,0,4,6,0,1,3
Nanna,Troubadour,1,18,3,5,6,7,9,3,4,8,0,0,1
Hicks,Axe Knight,6,30,7,0,6,5,6,8,15,8,0,0,2
Shiva,Swordfighter,4,24,6,0,9,12,5,4,7,6,0,1,4
Carrion,Social Knight,1,24,5,1,5,8,6,5,6,8,0,1,4
Selphina,Arch Knight,8,22,5,3,7,10,7,6,5,8,0,0,1
Kein,Lance Knight,2,26,7,0,4,7,3,6,10,8,0,0,1
Alva,Lance Knight,2,24,6,0,5,9,4,5,9,8,0,0,1
Robert,Arch Knight,1,23,5,0,4,8,6,4,7,8,0,1,3
Fred,Paladin,2,33,10,4,11,10,4,9,11,9,0,0,1
Olwen,Mage Knight,2,24,5,10,8,10,5,4,5,8,0,1,4
Mareeta,Swordfighter,2,22,3,1,7,13,7,3,5,6,0,1,5
Salem,Loputo Mage,5,22,0,8,6,7,2,2,4,6,0,0,1
Pahn,Thief Fighter,3,24,7,3,8,14,11,5,8,7,0,5,5
Tina,Priest,1,14,0,3,1,5,15,0,3,5,0,5,1
Trewd,Swordfighter,8,30,8,0,11,12,3,5,9,6,0,1,1
Glade,Duke Knight,2,34,11,2,12,11,4,10,12,9,1,0,1
Dean,Dragon Knight,3,36,12,2,13,12,5,13,12,9,0,2,3
Eda,Dragon Rider,5,22,7,3,6,9,12,9,5,8,0,0,1
Homeros,Bard,5,24,0,5,3,10,12,2,5,6,0,1,5
Linoan,Sister,3,16,0,7,4,9,8,0,3,5,0,0,5
Ralph,Mercenary,3,38,12,1,12,14,6,9,14,6,0,0,1
Eyrios,Mage Knight,8,40,11,9,13,14,14,10,6,8,0,1,0
Sleuf,Priest,6,18,0,11,12,4,9,1,4,5,0,3,0
Sara,Sister,7,14,0,11,12,9,10,0,3,5,0,5,0
Miranda,Mage,5,19,0,7,2,8,7,1,3,6,0,0,1
Shanam,Swordmaster,1,24,5,1,8,9,1,4,6,7,0,0,0
Misha,Pegasus Knight,4,28,8,13,11,16,6,6,6,9,0,1,2
Xavier,General,6,38,13,3,9,6,3,17,15,6,1,0,0
Amalda,Paladin,6,34,8,13,11,15,11,9,8,10,1,1,2
Conomore,Paladin,13,39,13,3,18,11,4,12,13,10,1,1,2
Delmud,Forrest Knight,3,36,11,5,12,12,7,9,11,10,0,0,5
Cyas,High Priest,12,23,0,18,16,12,5,4,5,7,3,3,0
Sety,Sage,14,32,3,17,16,16,10,9,8,8,1,2,3
Galzus,Mercenary,20,54,20,9,20,20,17,14,18,7,0,5,3
