Name,HP,S/M,Skl,Spd,Lck,Def,Res
Eirika,70,40,60,60,60,30,30
Seth,90,50,45,45,25,40,30
Franz,80,40,40,50,40,25,20
Gilliam,90,45,35,30,30,55,20
Moulder,70,40,50,40,20,25,25
Vanessa,50,35,55,60,50,20,30
Ross,70,50,35,30,40,25,20
Garcia,80,65,40,20,40,25,15
Neimi,55,45,50,60,50,15,35
Colm,75,40,40,65,45,25,20
Artur,55,50,50,40,25,15,55
Lute,45,65,30,45,45,15,40
Natasha,50,60,25,40,60,15,55
Joshua,80,35,55,55,30,20,20
Ephraim,80,55,55,45,50,35,25
Forde,85,40,50,45,35,20,25
Kyle,90,50,40,40,20,25,20
Tana,65,45,40,65,60,20,25
Amelia,60,35,40,40,50,30,15
Innes,75,40,40,45,45,20,25
Gerik,90,45,40,30,30,35,25
Tethys,85,5,10,70,80,30,75
Marisa,75,30,55,60,50,15,25
L’Arachel,45,50,45,45,65,15,50
Dozla,85,50,35,40,30,30,25
Saleh,50,30,25,40,40,30,35
Ewan,50,45,40,35,50,15,40
Cormag,85,55,40,45,35,25,15
Rennac,65,25,45,60,25,25,30
Duessel,85,55,40,30,20,45,30
Knoll,70,50,40,35,20,10,45
Myrrh,130,90,85,65,30,150,30
Syrene,70,40,50,60,30,20,50
Caellach,85,50,45,45,20,30,20
Orson,80,55,45,40,25,45,30
Riev,75,45,50,40,15,20,45
Ismaire,75,30,60,55,30,20,25
Selena,85,40,55,40,25,20,30
Glen,85,45,50,45,20,35,40
Hayden,70,40,45,45,40,25,25
Valter,80,40,55,50,15,20,20
Fado,85,55,40,30,25,45,25
Lyon,85,50,55,55,30,45,55
Knoll’s Phantom,0,50,50,40,55,0,0
Ewan’s Phantom,0,70,40,20,40,0,0
Lyon’s Phantom,0,60,45,30,60,0,0
